2019-12-14 16:20:45.2741 Info Loading Cardigann definition /app/Jackett/Definitions/dxp.yml 
2019-12-14 16:20:45.2796 Info Loading Cardigann definition /app/Jackett/Definitions/myspleen.yml 
2019-12-14 16:20:45.2826 Info Loading Cardigann definition /app/Jackett/Definitions/topnow.yml 
2019-12-14 16:20:45.2826 Info Loading Cardigann definition /app/Jackett/Definitions/eztv.yml 
2019-12-14 16:20:45.2876 Info Loading Cardigann definition /app/Jackett/Definitions/torrentseeds.yml 
2019-12-14 16:20:45.2931 Info Loading Cardigann definition /app/Jackett/Definitions/marinetracker.yml 
2019-12-14 16:20:45.3099 Info Loading Cardigann definition /app/Jackett/Definitions/vanila.yml 
2019-12-14 16:20:45.4613 Info Loading Cardigann definition /app/Jackett/Definitions/yourexotic.yml 
2019-12-14 16:20:45.4851 Info Loading Cardigann definition /app/Jackett/Definitions/ebookparadijs.yml 
2019-12-14 16:20:45.4987 Info Loading Cardigann definition /app/Jackett/Definitions/magico.yml 
2019-12-14 16:20:45.5182 Info Loading Cardigann definition /app/Jackett/Definitions/scenerush.yml 
2019-12-14 16:20:45.5226 Info Loading Cardigann definition /app/Jackett/Definitions/proaudiotorrents.yml 
2019-12-14 16:20:45.5264 Info Loading Cardigann definition /app/Jackett/Definitions/bit-titan.yml 
2019-12-14 16:20:45.5397 Info Loading Cardigann definition /app/Jackett/Definitions/libranet.yml 
2019-12-14 16:20:45.5433 Info Loading Cardigann definition /app/Jackett/Definitions/hqsource.yml 
2019-12-14 16:20:45.5459 Info Loading Cardigann definition /app/Jackett/Definitions/bitspyder.yml 
2019-12-14 16:20:45.5507 Info Loading Cardigann definition /app/Jackett/Definitions/0daykiev.yml 
2019-12-14 16:20:45.5634 Info Loading Cardigann definition /app/Jackett/Definitions/torrentslocal.yml 
2019-12-14 16:20:45.6283 Info Loading Cardigann definition /app/Jackett/Definitions/torrentgalaxyorg.yml 
2019-12-14 16:20:45.6329 Info Loading Cardigann definition /app/Jackett/Definitions/gigatorrents.yml 
2019-12-14 16:20:45.6329 Info Loading Cardigann definition /app/Jackett/Definitions/ourbits.yml 
2019-12-14 16:20:45.6397 Info Loading Cardigann definition /app/Jackett/Definitions/pleasuredome.yml 
2019-12-14 16:20:45.6459 Info Loading Cardigann definition /app/Jackett/Definitions/freetorrent.yml 
2019-12-14 16:20:45.6495 Info Loading Cardigann definition /app/Jackett/Definitions/audionews.yml 
2019-12-14 16:20:45.6624 Info Loading Cardigann definition /app/Jackett/Definitions/casatorrent.yml 
2019-12-14 16:20:45.6716 Info Loading Cardigann definition /app/Jackett/Definitions/chdbits.yml 
